Season,Team,Bat_Player,Bat_Mat,Bat_Inns,Bat_NO,Bat_Runs,Bat_HS,Bat_Ave,Bat_BF,Bat_SR,Bat_100,Bat_50,Bat_0,Bat_4s,Bat_6s,Bat_,Bowl_Player,Bowl_Mat,Bowl_Inns,Bowl_Overs,Bowl_Mdns,Bowl_Runs,Bowl_Wkts,Bowl_BBI,Bowl_Ave,Bowl_Econ,Bowl_SR,Bowl_4,Bowl_5,Bowl_
2024,Chennai Super Kings,RD Rickelton,13,13,0,263,76,20.23,195,134.87,0,1,0,18,16,,M Jansen,13,13,47.1,1,332,10,3/16,33.20,7.03,28.3,0,0,
2024,Chennai Super Kings,AK Markram,18,18,2,249,46,15.56,208,119.71,0,0,1,25,9,,PE Kruger,7,7,19.2,1,179,8,4/27,22.37,9.25,14.5,1,0,
2024,Chennai Super Kings,HE van der Dussen,7,7,1,186,66*,31.00,142,130.98,0,2,1,5,12,,G Coetzee,6,6,21.0,0,223,6,3/37,37.16,10.61,21.0,0,0,
2024,Chennai Super Kings,M Jansen,13,10,3,134,54,19.14,80,167.50,0,1,1,9,10,,N Peter,8,8,24.0,0,220,6,2/32,36.66,9.16,24.0,0,0,
2024,Chennai Super Kings,MP Breetzke,7,7,1,126,51,21.00,106,118.86,0,1,0,10,5,,GF Linde,2,2,8.0,0,49,5,4/21,9.80,6.12,9.6,1,0,
2024,Chennai Super Kings,PE Kruger,7,5,1,72,44,18.00,60,120.00,0,0,0,6,3,,AL Phehlukwayo,2,2,7.0,0,79,5,3/28,15.80,11.28,8.4,0,0,
2024,Chennai Super Kings,G Coetzee,6,6,2,56,23,14.00,36,155.55,0,0,2,3,5,,A Simelane,5,5,15.0,0,172,4,2/34,43.00,11.46,22.5,0,0,
2024,Chennai Super Kings,PWA Mulder,6,5,1,54,36,13.50,46,117.39,0,0,1,5,1,,LB Williams,4,4,13.0,0,120,4,3/36,30.00,9.23,19.5,0,0,
2024,Chennai Super Kings,GF Linde,2,1,0,48,48,48.00,24,200.00,0,0,0,3,4,,BC Fortuin,8,8,21.0,0,175,3,1/8,58.33,8.33,42.0,0,0,
2024,Chennai Super Kings,BC Fortuin,8,6,4,24,11*,12.00,26,92.30,0,0,1,3,0,,KT Maphaka,5,5,16.5,0,168,3,2/39,56.00,9.98,33.6,0,0,
2024,Chennai Super Kings,KA Maharaj,12,7,4,24,6,8.00,41,58.53,0,0,0,1,0,,AK Markram,18,12,20.0,0,181,3,1/4,60.33,9.05,40.0,0,0,
2024,Chennai Super Kings,N Peter,8,4,2,22,10*,11.00,20,110.00,0,0,0,2,0,,PWA Mulder,6,5,9.0,0,105,3,2/51,35.00,11.66,18.0,0,0,
2024,Chennai Super Kings,A Simelane,5,5,1,21,7,5.25,25,84.00,0,0,0,1,1,,L Ngidi,3,3,12.0,0,105,3,2/41,35.00,8.75,24.0,0,0,
2024,Chennai Super Kings,D Ferreira,4,3,0,19,8,6.33,18,105.55,0,0,0,1,0,,AD Galiem,1,1,4.0,0,21,2,2/21,10.50,5.25,12.0,0,0,
2024,Chennai Super Kings,KT Maphaka,5,3,3,16,12*,-,19,84.21,0,0,0,2,0,,L Sipamla,2,2,8.0,0,103,1,1/58,103.00,12.87,48.0,0,0,
2024,Chennai Super Kings,K Rabada,9,3,1,9,5*,4.50,7,128.57,0,0,1,2,0,,N Burger,1,1,3.0,0,47,0,-,-,15.66,-,0,0,
2024,Chennai Super Kings,L Ngidi,3,2,2,8,5*,-,10,80.00,0,0,0,1,0,,D Ferreira,4,1,3.0,0,37,0,-,-,12.33,-,0,0,
2024,Chennai Super Kings,AL Phehlukwayo,2,2,0,7,4,3.50,17,41.17,0,0,0,0,0,,RR Hendricks,22,2,3.5,0,37,0,-,-,9.65,-,0,0,
2024,Chennai Super Kings,JF Smith,1,1,1,6,6*,-,6,100.00,0,0,0,0,0,,T Stubbs,18,1,1.0,0,21,0,-,-,21.00,-,0,0,
2024,Chennai Super Kings,L Sipamla,2,1,0,3,3,3.00,4,75.00,0,0,0,0,0,,MP Breetzke,7,-,-,-,-,-,-,-,-,-,-,-,
2024,Chennai Super Kings,OEG Baartman,12,2,0,1,1,0.50,6,16.66,0,0,1,0,0,,Q de Kock,12,-,-,-,-,-,-,-,-,-,-,-,
2024,Chennai Super Kings,A Nortje,11,1,1,1,1*,-,1,100.00,0,0,0,0,0,,H Klaasen,15,-,-,-,-,-,-,-,-,-,-,-,
2024,Chennai Super Kings,LB Williams,4,2,0,0,0,0.00,3,0.00,0,0,2,0,0,,DA Miller,14,-,-,-,-,-,-,-,-,-,-,-,
2024,Chennai Super Kings,N Burger,1,-,-,-,-,-,-,-,-,-,-,-,-,,RD Rickelton,13,-,-,-,-,-,-,-,-,-,-,-,
2024,Chennai Super Kings,AD Galiem,1,-,-,-,-,-,-,-,-,-,-,-,-,,JF Smith,1,-,-,-,-,-,-,-,-,-,-,-,
2024,Chennai Super Kings,T Shamsi,5,-,-,-,-,-,-,-,-,-,-,-,-,,HE van der Dussen,7,-,-,-,-,-,-,-,-,-,-,-,
2024,Delhi Capitals,Azyan Farhath,17,17,6,559,66*,50.81,594,94.10,0,5,0,43,9,,Ibrahim Hassan,18,18,61.3,1,441,21,4/12,21.00,7.17,17.5,1,0,
2024,Delhi Capitals,Umar Adam,16,16,0,345,50,21.56,229,150.65,0,1,2,27,26,,Ibrahim Rizan,18,18,61.0,3,404,18,3/6,22.44,6.62,20.3,0,0,
2024,Delhi Capitals,Ismail Ali,16,15,1,189,33,13.50,169,111.83,0,0,1,10,11,,Umar Adam,16,16,57.4,0,429,17,3/11,25.23,7.43,20.3,0,0,
2024,Delhi Capitals,Shaof Hassan,11,9,2,111,36*,15.85,93,119.35,0,0,1,10,4,,Azyan Farhath,17,10,25.0,4,165,10,4/5,16.50,6.60,15.0,1,0,
2024,Delhi Capitals,Mohamed Azzam,17,15,2,109,25,8.38,168,64.88,0,0,2,5,0,,Shunan Ali,9,8,25.0,0,164,10,4/24,16.40,6.56,15.0,1,0,
2024,Delhi Capitals,GPK Wijesingha,6,5,0,102,56,20.40,102,100.00,0,1,0,7,3,,L Shafeeg,8,8,26.0,0,199,7,3/20,28.42,7.65,22.2,0,0,
2024,Delhi Capitals,Ibrahim Hassan,18,13,4,96,20*,10.66,121,79.33,0,0,1,6,2,,Mohamed Ishmath,8,8,26.0,0,188,5,2/20,37.60,7.23,31.2,0,0,
2024,Delhi Capitals,KTK Rodrigo,8,8,1,94,37*,13.42,103,91.26,0,0,1,9,2,,Nazwan Ismail,8,6,17.2,0,189,5,2/32,37.80,10.90,20.8,0,0,
2024,Delhi Capitals,Hassan Rasheed,12,8,0,61,23,7.62,95,64.21,0,0,2,4,1,,Ibrahim Nashath,4,3,9.0,0,42,4,2/15,10.50,4.66,13.5,0,0,
2024,Delhi Capitals,Ibrahim Rizan,18,12,6,56,11*,9.33,67,83.58,0,0,1,4,1,,Ameel Mauroof,4,3,5.2,0,48,3,2/12,16.00,9.00,10.6,0,0,
2024,Delhi Capitals,Mohamed Rishwan,6,5,0,39,23,7.80,71,54.92,0,0,1,2,0,,Mohamed Shiyam,5,3,4.0,0,63,1,1/22,63.00,15.75,24.0,0,0,
2024,Delhi Capitals,Mohamed Shiyam,5,4,2,37,25*,18.50,54,68.51,0,0,1,4,0,,Ismail Ali,16,1,1.0,0,9,0,-,-,9.00,-,0,0,
2024,Delhi Capitals,Ibrahim Nashath,4,2,1,22,20*,22.00,23,95.65,0,0,0,2,0,,Mohamed Miuvaan,2,2,4.0,0,32,0,-,-,8.00,-,0,0,
